Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28,Valenciennes,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-06,Gare de Redon,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,Lille,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-08,Châlons-sur-Saône,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-21,Entre Gretz-Armainvilliers et Coulommiers,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28,Hourcade,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-08,Gare de Massy Palaiseau,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-02,Paris la Vilette,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-25,Aigueperse,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-27,Brive,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-27,Saint Victurien,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-04,Entre Romans et Valence,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-29,Beillant,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-04,Luxembourg-Ville (Luxembourg),oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-09,Maurs,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13,Saint-Ouen,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-03,Saint-Etienne Chateaucreux,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-16,Entre Villeneuve-les-maguelone et Montpellier Saint-Roch,oui,Mise en œuvre de travaux en dehors du domaine fermé,, dans ces conditions, la mise en place de l’annonce humaine est inutile. Toujours présent au km 80,200, l’AA obtient la dépêche de confirmation de la mise en service du dispositif AUTOPROWA ainsi que celle attestant de la mise en service de la ZCh qui l’autorise à travailler sur la voie 2. Il porte ces éléments sur l’autorisation de travail qu’il doit donner au RCE en vue du travail sur le « JIC » au km 79,100. Ensuite, le RCE passe son téléphone à l’AA, le responsable du RCE lui indiquant qu’il doit se rendre au km 82,700 pour retrouver un autre RCE en charge du « meulage fin 2 ». Cette personne lui indique que le premier RCE a changé d’affectation par rapport au programme, il va faire les travaux sur le «  JIC » du km 79,200 mais que cela ne change rien à ce qui est prévu, hormis que l’AA travaillera avec un autre RCE sur l’opération initiale de «  meulage fin 2 ». L’AA demande alors au responsable personnel du poste de commandement de la GOP s’il est toujours affecté à l’activité « meulage fin 2 » : il l’est toujours. L’AA repart donc en direction du km 82,700 pour retrouver son nouveau RCE. Durant tout ce temps, l’ASP de l’entreprise d’annonce insiste auprès de l’AA pour être libéré, voyant que le travail va se faire sur la zone « AUTOPROWA ». Une fois arrivé au km 82,700, l’AA fini par céder aux sollicitations de l’ASP et libère le personnel de l’entreprise d’annonce. Il  est resté sur son organisation initiale et n’a pas pensé à vérifier les conditions d’intervention avant de remettre l’autorisation de travail qu’il avait rédigé au km 80, 200 et qui prenait en compte un travail au 79,100 comme l’avait indiqué le premier RCE. Alors que l’équipe travaille, les agents perçoivent l’allumage des avertisseurs du dispositif AUTOPROWA situés à 600 mètres de leur activité, côté Montpellier. Alors qu’ils observent ces avertisseurs, le train 87…0, qui circule à vitesse normale à contresens sur voie 1 entre Villeneuve-lès-Maguelone et Montpellier-St-Roch, survient dans leur dos, côté Villeneuve les Maguelone, et les surprend.
2015-12-08,Petit Therain,non,Composition non conforme,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06,Entre Pont Saint Vincent et Blainville,oui,Mise en œuvre de travaux en dehors du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-11,Gare de Pont-Cardinet,non,Non mise en protection,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-10,Gare de Saint-Brieuc,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,Entre La Souterraine et Forgevieille,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-29,Limoges,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-15,Sibelin,oui,Incident de marchandise dangereuse,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-22,Lesquin,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-26,Aix en Provence,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-09,Entre Sainte Paterne et Pont Pierre,oui,Mise en œuvre de travaux en dehors du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-18,Berchette,non,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-12,Miramas,oui,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07,Lyon Perrache,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-23,Grenoble,non,Reception sur voie non-electrifiée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-26,Corbeil Essones,oui,accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-26,Thionville,oui,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-19,Gare de Paris Saint Lazare,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-22,Béziers,non,Reception sur voie non-electrifiée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-10,Bobigny,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-15,La Valdahon,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-06,Entre Saint-Cesaire et Generac,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-07,Moosch,non,Dégagement de fumée sur matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-11,Nogent le Perreux,oui,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-16,Gardonne,oui,Délivrance d’un bulletin de franchissement sans vérification,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-11,Saincaize,non,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-30,Marseille,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-21,Entre Noisy-le-Sec et Gare de Paris Est,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-28,La Chapelle - Paris Nord,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-31,Entre Paris Saint Lazare et Mantes la Jolie,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,Gare de Achères Triage – Poste A,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,Blere,oui,Evénement de sécurité sans boucle de rattrapage,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-21,Saint Florentin,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-29,Vallorcine,oui,Erreur grave de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-07,Rennes Depot,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-21,Miramas,non,Incident de marchandise dangereuse,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-16,Entre Laroche-Migènes et Saint-Florentin-Vergigny,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-04,Ferrieres Fontenay,oui,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-08,Cravant-Bazarnes,non,Acte de malveillance,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-06,Clermont de l'Oise,non,Mise en œuvre de travaux en dehors du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-08,Entre Saint-Martin Sail les Bains et Saint Germain des Fosses,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-03,Pont Cardinet,non,Délivrance d’un bulletin de franchissement sans vérification,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-08,Lourches,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-04,Pontoise,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-07,Lyon Saint Clair,oui,Désordre d’ouvrage en terre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-06,Gare de Nantes Blottereau - poste 4,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,Entre Masseret et Uzerche,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-19,Survilliers Fosses,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-24,Massy Palaiseau,oui,Dégagement intempestif du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-29,Entre lisieux et Mezidon Canon,non,Non conformité du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-20,Bordeaux,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-12,Gare d'Achères,non,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-05,Emerainville,oui,Dégagement de fumée sur matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-18,Dreux,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-25,Culmont - Chalindrey,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-23,Villeneuve-Prairie,non,Evènement de sécurité sans boucle de rattrapage,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-04,Nantes Blottereau,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-08,Montrejeau,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-02,Villeneuve-Triage,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-22,Lille,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-16,Aulnoye - Aymeries,oui,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-02,Montanay,non,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-04,Les Aubrais,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-09,Quesnoy sur Deule,non,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-26,Poitiers,oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,Bourgoin-Jallieu,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,Vierzon,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10,Paris Saint Lazare,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-06,Amiens,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,St Fons,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,Aulnoye - Aymeries,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09,Pontoise,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-29,Gonesse,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,Avignon TGV,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,Calais,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,Bordeaux poste 3,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,Saint-Denis,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,Varennes-sur-Fouzon,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-26,Entre Teting PL et Saint-Avold PL,oui,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,Miramas,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-19,Albertville,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,Miramas,oui,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,Foucherans,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,Gare de Coueron,non,Accident de personne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,Bellenaves,oui,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-23,Saint Rambert d'Albon,non,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,Bellegarde,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,Gare de Trappes Poste 3,non,Franchissement de Signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-20,Mantes la Jolie,non,Non alimentation de la conduite principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,Agde,non,accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-14,Saint-Pierre-Le-Moutier,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,Phalempin,non,Non respect du point d’arrêt,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,Saint-Clément,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,Chantier Multi Technique d'Avigon,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,Paris Nord Poste 1B,oui,Pénétration intempestive sur domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,saint Aignan Noyers,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,Villers-Cotterets,oui,Mise en œuvre de travaux en dehors du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,Verberie,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-16,Paris Saint-Lazare,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,Sollies-Pont,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,Changis Saint-Jean,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05,Paris Charolais,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,Entre Reuilly et Fontaine Mercurey,non,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-20,Entre Savenay et Donges,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,Dombasle,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,Entre Chantonnay et Bournezeau,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,Les essarts-le-Roi,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,Emerainville,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,Batignolles - Poste 3,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,Noisy faisceau banlieue,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,Gare de Batignolles - poste 5,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09,Lyon,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,Barisey-la-cote,non,Défaillance Voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,Nevers,non,Dégagement de fumée sur matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,Gare de Pont Cardinet,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,Batignolles,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,Sotteville,non,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,Bollène La croisière,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-23,Toulouse,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,Vénissieux,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,Belfort,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,Luxembourg Ville,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,Sète,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-23,Lille Garolille,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-31,Serqueux,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,Reims,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-03,Tournon,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-09,Entre Saint Valery en Caux et Motteville,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,Nogent le Perreux,oui,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-22,Gare de Paris Saint Lazare,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-21,Anthéor-Cap Roux,oui,Désordre d’ouvrage en terre,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,Metz-Ville,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,Creil,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,Iles sur le Doubs,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-21,Strasbourg Cronenbourg,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,Clermont de l’Oise,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-22,Castelnaudary,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,Villeneuve Prairie,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,Ambérieu,non,Engagement intempestif d’une circulation sur une voie protégée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,Dijon,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,Argenteuil Triage,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,Annemasse,oui,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,Trappes,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,Compiègne,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,Paris Montparnasse,non,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,Biarritz,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,Belfort,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,St Germain au Mont d’Or,non,Accostage brutal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-19,Vitry-la-Ville,non,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28,Troyes,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-23,Chatillon sur Seine,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-12,Entre Agonac et Château l'Eveque,oui,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-23,Miramas,oui,Matières dangereuses,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10,Marigny,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-16,Narbonne,oui,Matières dangereuses,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-07,Paris Saint-Lazare,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-14,Marmande,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-04,Cannes,oui,Désordre d’ouvrage en terre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-30,Limoges,oui,Dépassement de vitesse supérieur à 40km/h,, sans ordre OCAR (Ordre de Circuler Avec restrictions) de limitation de vitesse à 40km/h du km 404,200 au km 404,400 pour l'affaissement de talus côté voie 1. Il y a eu absence de formulation sur l’appellation exacte entre les deux TTX, l’un étant prévu circuler normalement entre Limoges et Nexon, et l’autre prévu de s’engager dans la DFV, d’où cette confusion.,,,,,,,,,,,,,,,,,,,
2016-05-09,Roissy Charles de Gaulle,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-24,Moret,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-24,Beziers capisol,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-17,Ambérieu,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-25,Chalindrey,oui,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-11,Montauban,non,Composition non conforme,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-30,Gare Nantes Etat,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-03,Entre Montfort l'Amaury mère et Garancières la Queue,non,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-12,Souillac,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-28,Ite Carrieres de Pagnac,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-03,Entre Firminy et Aurec,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-28,Reims,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,Quimper,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-04,Paris-Batignolles,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-14,Vénissieux,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-03,Haubourdin,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-26,Selestat,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-25,Pavillons-sous-Bois,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-04,Imphy,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-02,Laroche Migennes,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-19,Entre Lapalud et Piolenc,non,Restitution DFV sans dégagement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-21,Mommenheim,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,Courtalain Saint Pellerin,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-20,Forbach,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-26,Tunnel de Saint Laurent,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-18,Corbie,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-21,URT,non,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,Orléans,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03,Entre La Rochelle et Marans,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-27,Mulhouse,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-26,Entre Tacoigneres Richebourg et Houdan,oui,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-09,Entre Paris Nord et Stade de France,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-20,Jussy,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-11,Roubaix,non,Dégagement de fumée sur matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-21,Trappes,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-23,Woippy,non,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-02,Montrabe,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-20,Entre Cherbourg et Lison,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-26,Versailles Chantier,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-04,Entre Nancy et Saint-Die,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-16,Le Mans,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-30,Sarrebourg,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-22,Reignac,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,Perrigny,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,Agen,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-28,Lille Délivrance,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,Bègles,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-23,Entre Velluire et La Rochelle,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
