Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,Capdenac,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,Nevers,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,Le Mans,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,Ampuis,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,Vénissieux,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,Sainte Pazanne,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,Paris Gare de Lyon,oui,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,Gare de Lyon,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,Grenoble,non,Accostage brutal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,Brétigny Poste C,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,Valence,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,Woippy Triage,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,Bordeaux Dépôt,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,Sotteville Dépôt,non,Collision par prise en écharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-11,MULHOUSE,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-31,VILLENEUVE LES MAGUELONE,oui,Incident grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-26,LEZOUX,oui,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-30,ST AIGNAN NOYER,non,Dégagement intempestif du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-28,TECHNICENTRE AQUITAINE,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-23,VIRE,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-17,AULNAY SOUS BOIS,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,CHAMBERY,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-16,BREST,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-18,TECHNICENTRE TGV de LYON,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-20,AVALLON,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-08,SAINCAIZE,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-14,VALENTON,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-20,VILLENEUVE SAINT GEORGES,oui,Dérangement des installations de sécurité,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-27,CREIL,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-05,TOULON,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-14,NICE,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-06,BOURG EN BRESSE,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-27,SAINT DENIS,non,Quasi accident de travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-21,PUY IMBERT,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,ROISSY,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-16,ST CHRISTOPHE,oui,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
